system,system_name,school,school_name,pool,Indicator,All Students,BHN,ED,EL,Super Subgroup,SWD,Indicator Score (60-40)
20,Bedford County,12,Cascade Elementary,K8,Growth,1,2,2,2,2,3,1.5
20,Bedford County,12,Cascade Elementary,K8,Chronic Absenteeism,4,4,4,NA,NA,4,4
20,Bedford County,12,Cascade Elementary,K8,ELPA,NA,NA,NA,NA,NA,NA, 
20,Bedford County,12,Cascade Elementary,K8,Graduation Rate,NA,NA,NA,NA,NA,NA, 
20,Bedford County,12,Cascade Elementary,K8,Ready Graduate,NA,NA,NA,NA,NA,NA, 
20,Bedford County,12,Cascade Elementary,K8,Weighted Subgroup Score,2.8,3.2,2.2,2,2.6,3.2, 
20,Bedford County,13,Cascade High School,HS,Achievement,2,2,2,NA,2,NA,2
20,Bedford County,13,Cascade High School,HS,Growth,0,2,2,NA,2,2,0.8
20,Bedford County,13,Cascade High School,HS,Chronic Absenteeism,2,1,1,NA,NA,1,1.6
20,Bedford County,13,Cascade High School,HS,ELPA,NA,NA,NA,NA,NA,NA, 
20,Bedford County,13,Cascade High School,HS,Graduation Rate,3,NA,NA,NA,NA,NA,3
20,Bedford County,13,Cascade High School,HS,Ready Graduate,4,NA,NA,NA,3,NA,4
20,Bedford County,13,Cascade High School,HS,Weighted Subgroup Score,1.9,1.9,1.9,NA,2.2,1.8, 
20,Bedford County,15,Eakin Elementary,K8,Achievement,1,1,1,3,1,NA,1.3
20,Bedford County,15,Eakin Elementary,K8,Growth,0,1,0,1,0,1,0.3
20,Bedford County,15,Eakin Elementary,K8,Chronic Absenteeism,4,4,4,4,NA,3,3.9
20,Bedford County,15,Eakin Elementary,K8,ELPA,2,2,2,2,NA,NA,2
20,Bedford County,15,Eakin Elementary,K8,Graduation Rate,NA,NA,NA,NA,NA,NA, 
20,Bedford County,15,Eakin Elementary,K8,Ready Graduate,NA,NA,NA,NA,NA,NA, 
20,Bedford County,15,Eakin Elementary,K8,Weighted Subgroup Score,1.1,1.4,1.1,2.3,0.6,1.4, 
20,Bedford County,17,Cascade Middle School,K8,Achievement,3,2,1,NA,1,NA,2.4
20,Bedford County,17,Cascade Middle School,K8,Growth,2,2,2,NA,3,4,2.3
20,Bedford County,17,Cascade Middle School,K8,Chronic Absenteeism,2,4,2,NA,NA,NA,2.4
20,Bedford County,17,Cascade Middle School,K8,ELPA,NA,NA,NA,NA,NA,NA, 
20,Bedford County,17,Cascade Middle School,K8,Graduation Rate,NA,NA,NA,NA,NA,NA, 
20,Bedford County,17,Cascade Middle School,K8,Ready Graduate,NA,NA,NA,NA,NA,NA, 
20,Bedford County,17,Cascade Middle School,K8,Weighted Subgroup Score,2.5,2.2,1.5,NA,1.9,4, 
20,Bedford County,20,Shelbyville Central High School,HS,Achievement,1,2,1,1,2,1,1.1
20,Bedford County,20,Shelbyville Central High School,HS,Growth,4,4,3,4,4,2,3.7
20,Bedford County,20,Shelbyville Central High School,HS,Chronic Absenteeism,4,4,4,3,NA,4,3.9
20,Bedford County,20,Shelbyville Central High School,HS,ELPA,1,1,1,1,NA,0,0.9
