system,system_name,school,school_name,pool,score_achievement,score_growth,score_absenteeism,score_grad,score_ready_grad,score_elpa,final_score,final_grade
101,Elizabethton,30,West Side Elementary,K8,4,2.4,3.8,NA,NA,NA,3.3,A
110,Cheatham County,5,Ashland City Elementary,K8,1.6,2,3.8666666666666667,NA,NA,4,2.2,B
110,Cheatham County,10,Cheatham Co Central,HS,2,1.8666666666666667,2.533333333333333,4,1.4,NA,2,C
110,Cheatham County,14,Cheatham Middle School,K8,2.333333333333333,1.8666666666666667,4,NA,NA,NA,2.3,B
110,Cheatham County,15,East Cheatham Elementary,K8,2,0.4,2.4000000000000004,NA,NA,NA,1.4,C
110,Cheatham County,18,Harpeth Middle School,K8,2.7333333333333334,2,4,NA,NA,NA,2.6,B
110,Cheatham County,19,Harpeth High School,HS,2.1999999999999997,3.0666666666666664,2,4,4,NA,2.9,B
110,Cheatham County,20,Kingston Springs Elementary,K8,4,4,4,NA,NA,NA,4,A
110,Cheatham County,25,Pegram Elementary,K8,3,0,4,NA,NA,NA,1.9,C
110,Cheatham County,30,Pleasant View Elementary,K8,4,2,3.2,NA,NA,NA,3.1,A
110,Cheatham County,32,Sycamore Middle School,K8,2.466666666666667,3.466666666666667,2.2666666666666666,NA,NA,NA,2.8,B
110,Cheatham County,33,Sycamore High School,HS,3,0.8,3.466666666666667,2.1999999999999997,3,NA,2.3,B
110,Cheatham County,35,West Cheatham Elementary,K8,2.5999999999999996,0.6000000000000001,3.7333333333333334,NA,NA,NA,1.9,C
120,Chester County,5,Chester County Middle School,K8,3.8666666666666667,3.7333333333333334,3.1333333333333333,NA,NA,NA,3.7,A
120,Chester County,8,Chester County High School,HS,2.8,2.1999999999999997,2.1333333333333333,3.6,3.2,NA,2.7,B
120,Chester County,10,Chester County Junior High School,K8,2.8666666666666663,2.2666666666666666,1.5333333333333334,NA,NA,NA,2.5,B
120,Chester County,15,East Chester Elementary School,K8,4,0.4,2.7333333333333334,NA,NA,NA,2.4,B
120,Chester County,25,Jacks Creek Elementary,K8,NA,2.5999999999999996,4,NA,NA,NA,2.9,B
120,Chester County,30,W Chester Elementary School,K8,4,2,2.533333333333333,NA,NA,NA,3.1,A
130,Claiborne County,35,Clairfield Elementary,K8,1,2,4,NA,NA,NA,1.7,C
130,Claiborne County,45,Ellen Myers Primary,K8,1,0.8,3.2,NA,NA,NA,1.1,C
130,Claiborne County,50,Forge Ridge School,K8,1,2.5999999999999996,2.4000000000000004,NA,NA,NA,1.8,C
130,Claiborne County,67,H. Y. Livesay Middle School,K8,4,3.6,4,NA,NA,NA,3.8,A
130,Claiborne County,90,Midway Elementary,K8,2.4000000000000004,2,2.8,NA,NA,NA,2.3,B
130,Claiborne County,93,Cumberland Gap High School,HS,2.5999999999999996,1.9999999999999998,4,4,3.4,NA,2.8,B
130,Claiborne County,95,Powell Valley Elementary,K8,2,1.8,3.8,NA,NA,NA,2.1,B
130,Claiborne County,105,Soldiers Memorial Middle School,K8,2.2,1.5333333333333334,4,NA,NA,NA,2.1,B
130,Claiborne County,110,Claiborne High School,HS,2.5999999999999996,1.5333333333333334,3.8666666666666667,3,3,NA,2.5,B
130,Claiborne County,115,Springdale Elementary,K8,4,3.8,4,NA,NA,NA,3.9,A
130,Claiborne County,117,Tazewell-New Tazewell Elementary,K8,1.6,0.8,3.8,NA,NA,NA,1.5,C
140,Clay County,5,Celina K-8,K8,1.2000000000000002,1.2000000000000002,4,NA,NA,NA,1.5,C
140,Clay County,12,Clay County High School,HS,2.8,3.8,2.2,4,2.4,NA,3,B
140,Clay County,20,Hermitage Springs Elementary School,K8,2.5999999999999996,0.4,4,NA,NA,NA,1.9,C
150,Cocke County,5,Bridgeport Elementary,K8,2.5999999999999996,2,2.4000000000000004,NA,NA,NA,2.3,B
150,Cocke County,10,Centerview Elementary,K8,2,0.6000000000000001,2.4000000000000004,NA,NA,NA,1.5,C
150,Cocke County,15,Cocke Co High School,HS,2.1333333333333333,0.26666666666666666,0.8,2,3,NA,1.6,C
150,Cocke County,25,Cosby Elementary,K8,2.4,1.1333333333333333,2.2666666666666666,NA,NA,NA,1.9,C
150,Cocke County,27,Cosby High School,HS,1.4,0.4,0.8,4,1.2,NA,1.1,C
150,Cocke County,30,Del Rio Elementary,K8,2,3.4,1,NA,NA,NA,2.5,B
150,Cocke County,35,Edgemont Elementary,K8,1.1333333333333333,1.7333333333333334,1.1333333333333333,NA,NA,NA,1.4,C
150,Cocke County,40,Grassy Fork Elementary,K8,4,1,3.4,NA,NA,NA,2.7,B
150,Cocke County,52,Northwest Elementary,K8,0.13333333333333333,0.26666666666666666,1.1333333333333333,NA,NA,NA,0.3,D
150,Cocke County,55,Parrottsville Elementary,K8,1.6,1.2666666666666666,1.4,NA,NA,NA,1.4,C
150,Cocke County,65,Smoky Mountain Elementary,K8,2.5999999999999996,3,4,NA,NA,NA,2.9,B
151,Newport,5,Newport Grammar School,K8,2.5999999999999996,1,2.1333333333333333,NA,NA,NA,1.9,C
160,Coffee County,5,Coffee County Central High School,HS,1.7333333333333334,0.30000000000000004,2.5999999999999996,3.8666666666666667,2.5999999999999996,1,1.7,C
160,Coffee County,10,Coffee County Middle School,K8,1.6,0.30000000000000004,1.8666666666666667,NA,NA,NA,1.1,C
160,Coffee County,15,East Coffee Elementary,K8,3.2,1.4,3.4,NA,NA,NA,2.5,B
160,Coffee County,20,Hickerson Elementary,K8,2.5999999999999996,1,2.8,NA,NA,NA,2,C
160,Coffee County,25,Hillsboro Elementary,K8,2.5999999999999996,3.7333333333333334,3.1333333333333333,NA,NA,NA,3.1,A
160,Coffee County,35,New Union Elementary,K8,3.2,0.9333333333333335,3.1333333333333333,NA,NA,4,2.5,B
160,Coffee County,40,North Coffee Elementary,K8,3,2,3.4,NA,NA,NA,2.6,B
160,Coffee County,50,Deerfield Elementary School,K8,3,1.8,1.4,NA,NA,NA,2.4,B
160,Coffee County,55,Coffee County Raider Academy,K8,2.2666666666666666,3.5,1.6,NA,NA,NA,2.7,B
161,Manchester,5,College Street Elementary,K8,2.4000000000000004,2.2,2.2666666666666666,NA,NA,2.8,2.4,B
161,Manchester,10,Westwood Elementary,K8,3.8666666666666667,2.1,4,NA,NA,3,3.2,A
161,Manchester,15,Westwood Middle School,K8,1.9,0,3,NA,NA,NA,1.3,C
162,Tullahoma,5,Bel Aire Elementary,K8,1.4,2.2666666666666666,1.4,NA,NA,NA,1.7,C
162,Tullahoma,15,East Middle School,K8,1.8666666666666667,0.4,3.7333333333333334,NA,NA,NA,1.5,C
162,Tullahoma,20,East Lincoln Elementary,K8,1,1.8666666666666667,3.8666666666666667,NA,NA,NA,1.6,C
162,Tullahoma,23,Jack T Farrar Elementary,K8,1.8000000000000003,2,2,NA,NA,NA,1.9,C
162,Tullahoma,25,Robert E Lee Elementary,K8,2.5999999999999996,3,4,NA,NA,NA,2.9,B
162,Tullahoma,35,Tullahoma High School,HS,3.3333333333333335,3.466666666666667,2,2,3.4,NA,3.2,A
162,Tullahoma,40,West Middle School,K8,1,0.6666666666666667,2.4000000000000004,NA,NA,NA,1,D
170,Crockett County,3,Crockett County High School,HS,1.1333333333333333,0.4,3.8666666666666667,4,2.4,0,1.5,C
170,Crockett County,12,Crockett County Middle School,K8,2.7333333333333334,2.2,3.1333333333333333,NA,NA,3,2.6,B
170,Crockett County,20,Friendship Elementary,K8,2,3,4,NA,NA,NA,2.6,B
170,Crockett County,25,Gadsden Elementary,K8,2,3,2.5999999999999996,NA,NA,NA,2.5,B
170,Crockett County,40,Maury City Elementary,K8,1.7999999999999998,1.4,4,NA,NA,4,2.1,B
171,Alamo,5,Alamo Elementary,K8,3.6,3.9,3.2,NA,NA,4,3.7,A
172,Bells,5,Bells Elementary,K8,3.8,2.1,3.8,NA,NA,3,3.1,A
180,Cumberland County,8,Frank P. Brown Elementary,K8,2.8,1.2000000000000002,2.2,NA,NA,NA,2.1,B
180,Cumberland County,10,Homestead Elementary School,K8,2.8,3.1333333333333333,4,NA,NA,NA,3.1,A
180,Cumberland County,15,Crab Orchard Elementary,K8,2.2,0.6000000000000001,3.4,NA,NA,NA,1.7,C
180,Cumberland County,25,Cumberland County High School,HS,2.5999999999999996,0.4,4,2.5999999999999996,4,NA,2.4,B
180,Cumberland County,33,Glenn Martin Elementary,K8,3,3.6,2,NA,NA,3.8,3.2,A
180,Cumberland County,53,North Cumberland Elementary,K8,1.8,0.8,2,NA,NA,NA,1.4,C
180,Cumberland County,55,Pine View Elementary,K8,3,2.5999999999999996,2.5999999999999996,NA,NA,NA,2.8,B
180,Cumberland County,60,Pleasant Hill Elementary,K8,2,2.5999999999999996,2.4000000000000004,NA,NA,NA,2.3,B
180,Cumberland County,73,South Cumberland Elementary,K8,3.4,3.3333333333333335,3.7333333333333334,NA,NA,NA,3.4,A
180,Cumberland County,74,Stone Elementary,K8,2.466666666666667,3.8,3,NA,NA,4,3.1,A
180,Cumberland County,79,Stone Memorial High School,HS,2.8666666666666663,2,3,3.8,2.8,0.2,2.4,B
180,Cumberland County,85,The Phoenix School,HS,2,0.4,4,4,2,NA,1.8,C
190,Davidson County,1,A. Z. Kelley Elementary,K8,1.9,2.1,4,NA,NA,3,2.3,B
190,Davidson County,3,MNPS Virtual School,K8,NA,2,4,NA,NA,NA,2.4,B
190,Davidson County,5,Alex Green Elementary,K8,1.8,2,4,NA,NA,2.2,2.1,B
190,Davidson County,10,Amqui Elementary,K8,2.1333333333333333,3.8666666666666667,4,NA,NA,3.8666666666666667,3.1,A
190,Davidson County,15,Andrew Jackson Elementary,K8,2.5999999999999996,3.8666666666666667,4,NA,NA,2.2,3.1,A
190,Davidson County,20,Antioch High School,HS,1,0.1,4,2.6,2.5999999999999996,0,1.4,C
190,Davidson County,23,Antioch Middle,K8,1,2,4,NA,NA,1.6,1.7,C
190,Davidson County,25,Apollo Middle,K8,0.2,0.1,2.4000000000000004,NA,NA,0.9,0.5,D
190,Davidson County,35,Moses McKissack Middle,K8,1.1333333333333333,0.4,4,NA,NA,1.1333333333333333,1.2,C
190,Davidson County,40,Bellevue Middle,K8,1.9,0.4,2.3,NA,NA,0.8,1.3,C
190,Davidson County,45,Bellshire Elementary,K8,2,2.8666666666666663,2,NA,NA,3,2.4,B
190,Davidson County,53,Nashville Big Picture High School,K8,3.2,1.8666666666666667,3.6,NA,NA,NA,2.7,B
190,Davidson County,70,Buena Vista Elementary,K8,2,2.1333333333333333,3.7333333333333334,NA,NA,NA,2.2,B
190,Davidson County,77,Cane Ridge High School,HS,1,0.2,3.2,2.1,2,0.30000000000000004,1.2,C
190,Davidson County,80,Ida B. Wells Elementary,K8,1.2000000000000002,1.3,4,NA,NA,3.1333333333333333,1.7,C
190,Davidson County,82,Cane Ridge Elementary,K8,3.1333333333333333,4,4,NA,NA,3.5,3.6,A
190,Davidson County,105,Chadwell Elementary,K8,1.8,2.1,4,NA,NA,2.8666666666666663,2.2,B
190,Davidson County,110,Charlotte Park Elementary,K8,2.1333333333333333,2,2.1,NA,NA,4,2.3,B
190,Davidson County,115,Eagle View Elementary School,K8,NA,3.7333333333333334,NA,NA,NA,4,3.8,A
190,Davidson County,120,Cockrill Elementary,K8,1.2000000000000002,2.8,3.8,NA,NA,1,2,C
190,Davidson County,130,Cole Elementary,K8,1.8,2.1,4,NA,NA,3.8,2.3,B
190,Davidson County,140,Hattie Cotton Elementary,K8,2,3,2.6,NA,NA,4,2.6,B
190,Davidson County,145,Crieve Hall Elementary,K8,3.4,3,3.9,NA,NA,3.9,3.4,A
190,Davidson County,148,Croft Middle,K8,1.2000000000000002,0.1,1.2000000000000002,NA,NA,0.9,0.8,D
190,Davidson County,150,Cumberland Elementary,K8,1.2000000000000002,4,4,NA,NA,NA,2.6,B
