system,school,pool,designation_ineligible,score_achievement,score_growth,score_absenteeism,score_grad,score_ready_grad,score_elpa,targeted_support_Native,targeted_support_Asian,targeted_support_Black,targeted_support_BHN,targeted_support_ED,targeted_support_EL,targeted_support_Hispanic,targeted_support_HPI,targeted_support_SWD,targeted_support_White,targeted_support_subgroups,targeted_support,final_average
190,70,K8,0,2,2.1333333333333333,3.7333333333333334,,,,,,,,,,,,,,0,0,2.2
190,77,HS,0,1,0.2,3.2,2.1,1.9,0.30000000000000004,,1,0,0,0,0,1,,0,0,2,1,1.2
190,80,K8,0,1.2000000000000002,1.3,4,,,3.1333333333333333,,,,,,,,,,,0,0,1.7
190,82,K8,0,3.1333333333333333,4,4,,,3.5,,,0,0,0,0,0,,,0,0,0,3.6
190,105,K8,0,1.8,2.1,4,,,2.8666666666666663,,,0,0,0,,,,,,0,0,2.2
190,110,K8,0,2.1333333333333333,2,2.1,,,4,,,0,0,0,0,0,,,0,0,0,2.3
190,115,K8,1,,3.7333333333333334,,,,4,,,,,,,,,,,0,0,3.8
190,120,K8,0,1.2000000000000002,2.8,3.8,,,1,,,0,0,0,,0,,,,0,0,2
190,130,K8,0,1.8,2.1,4,,,3.8,,,0,0,0,0,0,,0,0,0,0,2.3
190,140,K8,0,2,3,2.6,,,4,,,0,0,0,,,,,,0,0,2.6
190,145,K8,0,3.466666666666667,3,3.9,,,3.9,,,,0,0,0,0,,,0,0,0,3.4
190,148,K8,0,1.2000000000000002,0.1,1.2000000000000002,,,0.9,,,0,1,0,1,1,,0,1,4,1,0.8
190,150,K8,0,1.2000000000000002,4,4,,,,,,,,,,,,,,0,0,2.6
190,160,K8,0,3.2,3.7333333333333334,2.6999999999999997,,,3,,,,0,0,,,,,0,0,0,3.3
190,165,K8,0,1,2.2,4,,,2.8666666666666663,,,0,0,0,,0,,0,0,0,0,1.9
190,175,K8,0,1,3.5,3,,,0.9,,,0,0,0,0,0,,0,0,0,0,2.1
190,180,K8,0,2.8,1.2000000000000002,4,,,3,,,0,0,0,,,,,0,0,0,2.4
190,185,K8,0,0.9,0.4,4,,,4,,,0,0,0,0,0,,1,0,1,1,1.3
190,190,K8,0,0.9,2,4,,,1.2000000000000002,,,0,0,0,1,0,,0,0,1,1,1.6
190,195,K8,0,3.2,3.7,4,,,4,,,0,0,0,,,,0,0,0,0,3.5
190,203,HS,0,1.1333333333333333,0.26666666666666666,2.4000000000000004,4,2.8,,,,0,0,0,,,,,,0,0,1.5
190,208,K8,0,1.8666666666666667,3.4,4,,,2.9,,,0,0,0,0,0,,,0,0,0,2.7
190,220,K8,0,1,0.6666666666666667,3.9,,,2.2666666666666666,,,0,0,0,,,,,,0,0,1.3
